Name,Nick,Archive,Filename,3BV,Level,NF,Time,Timestamp,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_3410_FL_1650092134.rmv,9,0,0,341,1650092134,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_3421_NF_1649860013.rmv,11,0,1,342,1649860013,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_3427_NF_1649995152.rmv,17,0,1,342,1649995152,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_3454_NF_1649861358.rmv,19,0,1,345,1649861358,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_3493_NF_1649862861.rmv,15,0,1,349,1649862861,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_3578_NF_1649861246.rmv,12,0,1,357,1649861246,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_3620_NF_1649862956.rmv,12,0,1,362,1649862956,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_3632_NF_1649860047.rmv,17,0,1,363,1649860047,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_3675_NF_1649862582.rmv,13,0,1,367,1649862582,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_3676_NF_1650168022.rmv,12,0,1,367,1650168022,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_3694_FL_1650092231.rmv,18,0,0,369,1650092231,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_3720_NF_1649860770.rmv,17,0,1,372,1649860770,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_3759_FL_1650092022.rmv,15,0,0,375,1650092022,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_3769_NF_1649861306.rmv,21,0,1,376,1649861306,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_3790_FL_1649995347.rmv,11,0,0,379,1649995347,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_3799_NF_1649861375.rmv,16,0,1,379,1649861375,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_3836_NF_1649860857.rmv,17,0,1,383,1649860857,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_3837_FL_1649995577.rmv,18,0,0,383,1649995577,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_3846_NF_1649994858.rmv,15,0,1,384,1649994858,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_3850_NF_1649860848.rmv,11,0,1,385,1649860848,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_3860_NF_1649994809.rmv,14,0,1,386,1649994809,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_3881_NF_1649860376.rmv,16,0,1,388,1649860376,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_3903_NF_1649860105.rmv,15,0,1,390,1649860105,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_3948_NF_1649861080.rmv,18,0,1,394,1649861080,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_3969_NF_1649994591.rmv,14,0,1,396,1649994591,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_4043_NF_1650167845.rmv,14,0,1,404,1650167845,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_4058_NF_1649860266.rmv,18,0,1,405,1649860266,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_4063_NF_1650167855.rmv,19,0,1,406,1650167855,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_4136_NF_1649859730.rmv,16,0,1,413,1649859730,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_4144_NF_1649861297.rmv,20,0,1,414,1649861297,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_4152_FL_1649995365.rmv,19,0,0,415,1649995365,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_4205_FL_1650092038.rmv,15,0,0,420,1650092038,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_4206_NF_1649863052.rmv,23,0,1,420,1649863052,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_4261_NF_1649861034.rmv,13,0,1,426,1649861034,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_4290_NF_1649861118.rmv,16,0,1,429,1649861118,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_4321_NF_1649860510.rmv,23,0,1,432,1649860510,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_4471_NF_1649862966.rmv,22,0,1,447,1649862966,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_4514_NF_1649860869.rmv,18,0,1,451,1649860869,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_4600_NF_1649860205.rmv,27,0,1,460,1649860205,
JiHeng Jiang G98263,JiHeng Jiang G98263,archive.zip,beg_4606_FL_1650091883.rmv,25,0,0,460,1650091883,
